Дашборд: Tаблица 3-1-1-1-1-1-5
;СУДАК;;ЩУКА;;ГОЛАВЛЬ;;ОКУНЬ;;ЖЕРЕХ;;ПЛОТВА;;КРАСНОПЁРКА;;УКЛЕЙКА;;ЁРШ;;ПЕСКАРЬ;
;169;;194;;27;;2088;;2;;73;;12;;13;;100;;1;
;3600 гр.;;2455 гр.;;1280 гр.;;950 гр.;;910 гр.;;350 гр.;;200 гр.;;65 гр.;;55 гр.;;35 гр.;

Дашборд: Tаблица 1-1
2 679
Общий улов шт.

Дашборд: Средний улов за выезд шт.
6

Дашборд: Максимальный улов шт.
90

Дашборд: Рыбалок
456

Дашборд: Tаблица 1-2
1
2
3
4
5
6
7
8
9
10

Данные: Справочник
;17.04.02;оз.Рудник;С берега;Силиконовые приманки;Твистеры;Action Plastics;Curl Tail Grub 2.25 #Glow;Окунь;6;;2002;
2003;;;;;;;;;;;;
;12.05.03;р.Речица;С берега;Блёсны;Вращающиеся блёсны;DAM;Effzett Natur 3D Spinner (4г) #Pike;Окунь;2;;2003;Черняковское вдхр.
;12.05.03;р.Речица;С берега;Блёсны;Вращающиеся блёсны;DAM;Effzett Natur 3D Spinner (4г) #Pike;Щука;1;;2003;Черняковское вдхр.
;27.05.03;р.Речица;С берега;Блёсны;Вращающиеся блёсны;DAM;Effzett Natur 3D Spinner (4г) #Pike;Окунь;2;;2003;Черняковское вдхр.
;27.05.03;р.Речица;С берега;Блёсны;Вращающиеся блёсны;DAM;Effzett Natur 3D Spinner (4г) #Pike;Щука;1;;2003;Черняковское вдхр.
;09.06.03;оз.Рудник;С берега;Блёсны;Вращающиеся блёсны;Lucky John;Spin-X Long №2 (4г) #SR;Щука;1;;2003;
;10.07.03;Гидроотвал Михайловского ГОКа;С берега;Блёсны;Колеблющиеся блёсны;Acme;Fiord Spoon 83мм (18г) #S930N;Окунь;1;;2003;Старая Сетка
;20.07.03;р.Речица;С берега;Блёсны;Вращающиеся блёсны;DAM;Effzett Natur 3D Spinner (4г) #Pike;Окунь;2;;2003;Черняковское вдхр.
;24.07.03;оз.Сафрошинский рукав;С берега;Блёсны;Вращающиеся блёсны;DAM;Effzett Natur 3D Spinner (4г) #Pike;Окунь;1;;2003;
;03.08.03;оз.Сафрошинский рукав;С берега;Блёсны;Зимние блёсны;Lucky John;S-4 67мм (11г) #S;Окунь;1;;2003;
;03.10.03;оз.Сафрошинский рукав;С берега;Блёсны;Колеблющиеся блёсны;Acme;Kastmaster 62мм (21г) #SW115CHNB;Щука;2;;2003;
2004;;;;;;;;;;;;
;15.05.04;р.Рясник;С берега;Блёсны;Вращающиеся блёсны;Heron;Crack №2 (5г) #Oro;Окунь;2;;2004;р.Рясник
;18.05.04;р.Речица;С берега;Блёсны;Вращающиеся блёсны;Myran;Agat (5г) #Silver;Окунь;1;;2004;Черняковское вдхр.
;18.05.04;р.Речица;С берега;Блёсны;Вращающиеся блёсны;Heron;Crack №2 (5г) #Oro;Окунь;1;;2004;Черняковское вдхр.
;18.05.04;р.Речица;С берега;Блёсны;Вращающиеся блёсны;Lucky John;Spin-X Round №2 (5г) #GR;Окунь;2;;2004;Черняковское вдхр.
;02.07.04;р.Рясник;С берега;Блёсны;Вращающиеся блёсны;Heron;Crack №2 (5г) #Oro;Окунь;7;;2004;р.Рясник
;03.07.04;р.Рясник;С берега;Блёсны;Вращающиеся блёсны;Heron;Crack №2 (5г) #Oro;Окунь;3;;2004;р.Рясник
